id,name
1,Abramo
2,Alessio
3,Antoniani
4,Ascarelli
5,Baldelli
6,Bellina
7,Bocchino
8,Brescia
9,Calafiori
10,Campisano
11,Cirillo
12,Contu
13,D'Angelo
14,De Giacomo
15,Fabrizio
16,Falorni
17,Federico
18,Filipponi
19,Gianluca
20,Giggio
21,Giorgio
22,Giovanni
23,Lanzetta
24,Luca
25,Lustrati
26,Martinelli A.
27,Martinelli E.
28,Melegoni
29,Milani
30,Minotti
31,Monticelli
32,Nestonni
33,Nick
34,Paciolla
35,Palermo
36,Paolo
37,Pasta
38,Peluso
39,Petrassi A.
40,Petrassi G.
41,Petroni
42,Porcu
43,Porretti
44,Pucci
45,Ricci
46,Rosato
47,Simone
48,Specchio
49,Spina A.
50,Spina G.
51,Succo
52,Tomassetti
53,Torrioli
54,Tovoli
55,Vari
56,Waheb
